日期,城市,租用中用户数,渠道在租用户数,直客在租用户数,企业包在租用户数,寄存用户数,新增用户数,新增渠道用户数,新增直客用户数,新增企业包用户数,退租用户数,渠道退租用户数,直客退租用户数,企业包退租用户数,,,
2026-02-02,上海市,3,0,3,0,2,0,0,0,0,0,0,0,0,,,
2026-02-02,南京市,4897,1507,1925,1465,316,23,10,11,2,105,20,30,55,,,
2026-02-02,南通市,798,267,453,78,71,4,1,0,3,21,10,9,2,,,
2026-02-02,台州市,165,44,33,88,7,5,3,0,2,7,3,0,4,,,
2026-02-02,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-02,宁波市,3612,1495,1568,549,309,23,14,1,8,71,22,27,22,,,
2026-02-02,常州市,2096,716,1100,280,179,7,5,2,0,34,13,15,6,,,
2026-02-02,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-02,无锡市,821,389,398,34,122,5,4,1,0,10,7,3,0,,,
2026-02-02,杭州市,27,22,5,0,0,0,0,0,0,0,0,0,0,,,
2026-02-02,武汉市,2268,1337,905,26,235,14,13,1,0,32,25,7,0,,,
2026-02-02,温州市,1312,660,271,381,88,13,9,0,4,69,25,15,29,,,
2026-02-02,芜湖市,393,106,286,1,33,0,0,0,0,1,0,1,0,,,
2026-02-02,苏州市,7784,1873,4514,1397,724,25,19,6,0,117,29,38,50,,,
2026-02-02,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-02,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-02,青岛市,457,428,24,5,45,2,2,0,0,12,11,1,0,,,
2026-02-03,上海市,3,0,3,0,2,0,0,0,0,0,0,0,0,,,
2026-02-03,南京市,4863,1502,1921,1440,366,15,6,6,3,69,19,25,25,,,
2026-02-03,南通市,796,266,453,77,79,5,4,1,0,5,4,1,0,,,
2026-02-03,台州市,166,45,31,90,7,4,2,0,2,3,2,0,1,,,
2026-02-03,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-03,宁波市,3569,1478,1559,532,339,7,3,3,1,55,26,14,15,,,
2026-02-03,常州市,2083,709,1097,277,193,4,3,1,0,16,7,3,6,,,
2026-02-03,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-03,无锡市,825,393,399,33,127,10,8,2,0,11,5,5,1,,,
2026-02-03,杭州市,28,23,5,0,0,1,1,0,0,0,0,0,0,,,
2026-02-03,武汉市,2249,1327,896,26,259,9,9,0,0,27,19,8,0,,,
2026-02-03,泉州市,2,0,2,0,0,1,0,1,0,0,0,0,0,,,
2026-02-03,温州市,1292,647,267,378,103,15,11,0,4,33,16,5,12,,,
2026-02-03,芜湖市,396,107,288,1,34,1,1,0,0,1,0,1,0,,,
2026-02-03,苏州市,7745,1882,4487,1376,775,34,23,10,1,89,17,43,29,,,
2026-02-03,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-03,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-03,青岛市,456,427,24,5,47,2,2,0,0,1,1,0,0,,,
2026-02-04,上海市,3,0,3,0,2,0,0,0,0,0,0,0,0,,,
2026-02-04,南京市,4839,1501,1910,1428,371,16,10,2,4,53,12,18,23,,,
2026-02-04,南通市,791,262,447,82,78,0,0,0,0,9,2,4,3,,,
2026-02-04,台州市,172,47,33,92,6,7,3,1,3,2,1,0,1,,,
2026-02-04,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-04,宁波市,3540,1468,1546,526,378,17,10,2,5,60,26,20,14,,,
2026-02-04,常州市,2060,699,1089,272,204,0,0,0,0,27,10,11,6,,,
2026-02-04,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-04,无锡市,820,388,399,33,129,4,2,2,0,3,2,1,0,,,
2026-02-04,杭州市,31,25,6,0,0,3,2,1,0,0,0,0,0,,,
2026-02-04,武汉市,2228,1313,889,26,272,8,8,0,0,29,22,7,0,,,
2026-02-04,泉州市,3,0,3,0,1,0,0,0,0,0,0,0,0,,,
2026-02-04,温州市,1280,642,269,369,110,13,10,0,3,33,19,1,13,,,
2026-02-04,芜湖市,393,106,286,1,36,1,1,0,0,3,1,2,0,,,
2026-02-04,苏州市,7665,1862,4458,1345,824,21,12,9,0,116,35,48,33,,,
2026-02-04,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-04,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-04,青岛市,452,423,24,5,50,2,2,0,0,3,3,0,0,,,
2026-02-05,上海市,3,0,3,0,2,0,0,0,0,0,0,0,0,,,
2026-02-05,南京市,4794,1493,1898,1403,397,15,5,8,2,72,20,18,34,,,
2026-02-05,南通市,789,263,445,81,85,4,4,0,0,4,2,1,1,,,
2026-02-05,台州市,282,47,31,204,7,6,1,0,5,6,0,1,5,,,
2026-02-05,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-05,宁波市,3496,1454,1525,517,409,11,6,3,2,42,14,15,13,,,
2026-02-05,常州市,2029,690,1072,267,225,5,4,1,0,34,12,16,6,,,
2026-02-05,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-05,无锡市,824,391,400,33,132,10,9,1,0,10,8,2,0,,,
2026-02-05,杭州市,32,26,6,0,0,1,1,0,0,0,0,0,0,,,
2026-02-05,武汉市,2208,1303,881,24,276,12,12,0,0,28,22,5,1,,,
2026-02-05,泉州市,4,0,4,0,1,1,0,1,0,0,0,0,0,,,
2026-02-05,温州市,1156,638,262,256,110,8,7,0,1,27,14,5,8,,,
2026-02-05,芜湖市,391,105,285,1,39,0,0,0,0,2,2,0,0,,,
2026-02-05,苏州市,7605,1855,4439,1311,892,18,12,5,1,110,28,42,40,,,
2026-02-05,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-05,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-05,青岛市,456,430,22,4,53,8,8,0,0,3,2,0,1,,,
2026-02-06,上海市,3,0,3,0,2,0,0,0,0,0,0,0,0,,,
2026-02-06,南京市,4738,1503,1856,1379,400,11,5,3,3,53,10,20,23,,,
2026-02-06,南通市,789,262,443,84,86,3,1,0,2,3,2,1,0,,,
2026-02-06,台州市,279,46,31,202,7,2,1,0,1,2,1,0,1,,,
2026-02-06,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-06,宁波市,3462,1453,1505,449,456,9,6,3,0,45,23,11,10,,,
2026-02-06,常州市,2016,687,1067,262,246,3,2,0,1,14,4,6,4,,,
2026-02-06,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-06,无锡市,815,389,393,33,139,0,0,0,0,9,7,2,0,,,
2026-02-06,杭州市,32,26,6,0,0,0,0,0,0,0,0,0,0,,,
2026-02-06,武汉市,2183,1285,874,24,284,4,4,0,0,30,26,4,0,,,
2026-02-06,泉州市,4,0,4,0,1,0,0,0,0,0,0,0,0,,,
2026-02-06,温州市,1155,647,255,253,125,19,14,1,4,19,14,1,4,,,
2026-02-06,芜湖市,389,104,284,1,42,0,0,0,0,2,1,1,0,,,
2026-02-06,苏州市,7536,1861,4391,1284,938,15,13,1,1,77,17,29,31,,,
2026-02-06,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-06,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-06,青岛市,450,426,20,4,50,2,2,0,0,8,8,0,0,,,
2026-02-07,上海市,3,0,3,0,2,0,0,0,0,0,0,0,0,,,
2026-02-07,南京市,4687,1500,1833,1354,423,19,10,6,3,73,14,26,33,,,
2026-02-07,南通市,772,256,439,77,88,2,1,1,0,15,5,5,5,,,
2026-02-07,台州市,282,47,30,205,8,3,0,0,3,4,0,1,3,,,
2026-02-07,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-07,宁波市,3423,1429,1496,445,499,11,8,1,2,51,25,14,10,,,
2026-02-07,常州市,1992,682,1061,249,270,1,1,0,0,24,7,8,9,,,
2026-02-07,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-07,无锡市,809,387,387,35,153,1,1,0,0,8,4,4,0,,,
2026-02-07,杭州市,37,31,6,0,0,5,5,0,0,0,0,0,0,,,
2026-02-07,武汉市,2165,1270,871,24,308,10,10,0,0,34,27,5,2,,,
2026-02-07,泉州市,4,0,4,0,1,0,0,0,0,0,0,0,0,,,
2026-02-07,温州市,1147,646,250,251,141,10,8,0,2,19,10,5,4,,,
2026-02-07,芜湖市,387,103,283,1,44,0,0,0,0,3,1,2,0,,,
2026-02-07,苏州市,7465,1848,4365,1252,1048,22,18,2,2,121,31,41,49,,,
2026-02-07,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-07,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-02-07,青岛市,440,417,19,4,54,2,2,0,0,10,9,1,0,,,
2026-02-08,上海市,3,0,3,0,2,0,0,0,0,0,0,0,0,,,
2026-02-08,南京市,4633,1487,1834,1312,498,13,7,4,2,80,20,13,47,,,
